time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-27T08:48:10.650Z,35.6501667,-117.4588333,3.17,0.75,ml,15,84,0.03228,0.19,ci,ci39096536,2019-09-27T08:51:48.070Z,"14km SSW of Searles Valley, CA",earthquake,0.38,0.45,0.114,7,automatic,ci,ci
2019-09-27T08:47:45.850Z,36.5558333,-89.6481667,8.23,3.27,md,67,22,0.03076,0.12,nm,nm60287956,2019-09-27T12:35:30.127Z,"4km SW of Lilbourn, Missouri",earthquake,0.15,0.32,0.142,71,reviewed,nm,nm
2019-09-27T08:44:08.228Z,64.6487,-146.8722,4,1.4,ml,,,,0.72,ak,ak019ceo4mba,2019-09-27T08:51:59.721Z,"8km E of Eielson Air Force Base, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-09-27T08:42:28.083Z,59.7115,-152.3669,63.2,2,ml,,,,0.57,ak,ak019ceo48fa,2019-09-27T08:48:48.494Z,"30km WSW of Anchor Point, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-09-27T08:33:57.300Z,33.1033333,-116.5966667,9.08,0.89,ml,25,132,0.0223,0.2,ci,ci39096520,2019-09-27T08:37:30.534Z,"3km N of Julian, CA",earthquake,0.38,0.73,0.185,22,automatic,ci,ci
2019-09-27T08:28:02.340Z,35.6326667,-117.432,4.26,1.7,ml,29,85,0.03308,0.18,ci,ci39096512,2019-09-27T08:39:17.080Z,"15km S of Searles Valley, CA",earthquake,0.29,0.45,0.201,26,automatic,ci,ci
2019-09-27T08:20:49.970Z,35.8633333,-117.6686667,8.83,0.45,ml,8,107,0.07482,0.05,ci,ci39096504,2019-09-27T08:24:25.470Z,"23km ESE of Little Lake, CA",earthquake,0.25,1.12,0.063,6,automatic,ci,ci
2019-09-27T08:17:56.230Z,35.6231667,-117.3475,8.91,0.83,ml,12,157,0.05987,0.22,ci,ci39096496,2019-09-27T08:24:21.133Z,"16km S of Trona, CA",earthquake,0.77,1.16,0.158,8,automatic,ci,ci
2019-09-27T08:01:44.089Z,53.4548,-165.9252,46.02,4.1,mb,,189,0.687,1.15,us,us70005m9z,2019-09-27T08:26:04.774Z,"61km SE of Unalaska, Alaska",earthquake,4.7,9.6,0.135,15,reviewed,us,us
2019-09-27T08:01:13.440Z,33.5181667,-116.5033333,13.86,0.58,ml,23,78,0.04553,0.17,ci,ci39096488,2019-09-27T08:04:59.020Z,"16km ESE of Anza, CA",earthquake,0.27,0.51,0.203,14,automatic,ci,ci
2019-09-27T08:00:35.290Z,35.6663333,-117.532,7.92,0.87,ml,15,101,0.05354,0.14,ci,ci39096480,2019-09-27T08:04:12.343Z,"14km ENE of Ridgecrest, CA",earthquake,0.31,0.65,0.173,10,automatic,ci,ci
2019-09-27T07:47:53.204Z,62.4937,-152.3776,0,1.6,ml,,,,0.93,ak,ak019cenjxbt,2019-09-27T07:56:38.265Z,"118km W of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-09-27T07:47:07.740Z,35.5778333,-117.4106667,8.37,1.96,ml,36,65,0.04289,0.22,ci,ci39096472,2019-09-27T07:58:06.540Z,"21km S of Trona, CA",earthquake,0.34,0.59,0.132,26,automatic,ci,ci
2019-09-27T07:41:01.670Z,35.6911667,-117.5366667,11.32,0.9,ml,18,110,0.07386,0.17,ci,ci39096464,2019-09-27T07:44:49.047Z,"15km SW of Searles Valley, CA",earthquake,0.39,0.8,0.159,8,automatic,ci,ci
2019-09-27T07:29:35.834Z,-21.1663,-69.0165,98.09,4.4,mwr,,49,0.456,0.55,us,us70005m9d,2019-09-27T08:01:15.040Z,"144km N of Calama, Chile",earthquake,6,5.3,0.057,30,reviewed,us,us
2019-09-27T07:28:17.620Z,19.3234997,-155.3773346,29.47,1.79,ml,48,81,0.01259,0.13,hv,hv71152416,2019-09-27T07:33:59.430Z,"16km NE of Pahala, Hawaii",earthquake,0.52,0.63,0.44,3,automatic,hv,hv
2019-09-27T07:25:01.838Z,63.736,-149.2774,11.7,1.2,ml,,,,0.26,ak,ak019cenf3lz,2019-09-27T07:27:32.094Z,"20km SW of Healy, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-09-27T07:12:23.140Z,33.2233333,-116.7455,10.06,0.53,ml,21,56,0.01681,0.17,ci,ci39096448,2019-09-27T07:15:55.035Z,"3km SE of Lake Henshaw, CA",earthquake,0.34,0.7,0.131,12,automatic,ci,ci
2019-09-27T07:08:35.150Z,35.6905,-117.5416667,11.18,1.32,ml,25,58,0.07187,0.13,ci,ci39096440,2019-09-27T07:12:22.858Z,"14km ENE of Ridgecrest, CA",earthquake,0.21,0.39,0.211,16,automatic,ci,ci
2019-09-27T07:07:55.250Z,38.8134995,-122.8123322,2.17,0.78,md,16,48,0.01004,0.03,nc,nc73281710,2019-09-27T07:22:02.386Z,"6km NW of The Geysers, CA",earthquake,0.26,0.65,0.13,2,automatic,nc,nc
2019-09-27T07:06:41.650Z,19.0103,-67.147,5,3.03,md,17,214,0.544,0.43,pr,pr2019270003,2019-09-27T07:51:17.853Z,"57km NNW of Isabela, Puerto Rico",earthquake,1.09,1.76,0.35,17,reviewed,pr,pr
2019-09-27T07:04:26.330Z,35.6901667,-117.5398333,11.27,1.27,ml,23,58,0.07204,0.12,ci,ci39096432,2019-09-27T07:14:52.070Z,"14km ENE of Ridgecrest, CA",earthquake,0.21,0.35,0.269,15,automatic,ci,ci
2019-09-27T06:46:51.178Z,65.5168,-148.1467,0,1.2,ml,,,,1.04,ak,ak019cemy9tk,2019-09-27T06:53:15.887Z,"74km N of Ester, Alaska",earthquake,,1.2,,,automatic,ak,ak
2019-09-27T06:46:41.620Z,61.467,-151.2151,5.1,1.3,ml,,,,0.71,ak,ak019cemy941,2019-09-27T06:51:34.761Z,"67km W of Big Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-09-27T06:40:49.430Z,36.1018333,-117.857,2.74,1.46,ml,19,54,0.01581,0.13,ci,ci39096424,2019-09-27T06:44:37.851Z,"10km NE of Coso Junction, CA",earthquake,0.24,0.43,0.273,20,automatic,ci,ci
2019-09-27T06:31:51.270Z,65.3701,-153.4311,0,1.5,ml,,,,0.46,ak,ak019cemv247,2019-09-27T06:44:42.696Z,"66km WNW of Tanana, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-09-27T06:09:55.230Z,35.8163333,-117.6438333,3.74,1.09,ml,21,69,0.03765,0.16,ci,ci39096416,2019-09-27T06:13:33.688Z,"22km N of Ridgecrest, CA",earthquake,0.25,0.57,0.119,13,automatic,ci,ci
2019-09-27T06:08:20.820Z,19.0656,-67.1473,75,2.9,md,17,218,0.5992,0.74,pr,pr2019270002,2019-09-27T07:23:18.040Z,"71km N of Isabela, Puerto Rico",earthquake,4.55,8.36,0.25,17,reviewed,pr,pr
2019-09-27T06:02:45.900Z,35.6525,-117.4656667,2.24,1.42,ml,19,71,0.03643,0.13,ci,ci39096408,2019-09-27T06:13:37.070Z,"14km SSW of Searles Valley, CA",earthquake,0.2,0.28,0.22,19,automatic,ci,ci
2019-09-27T05:54:55.120Z,37.6506653,-119.0376663,-2.76,0.86,md,8,150,0.01027,0.15,nc,nc73281695,2019-09-27T06:32:03.039Z,"5km WNW of Mammoth Lakes, CA",earthquake,0.76,3.33,0.24,7,automatic,nc,nc
2019-09-27T05:50:57.960Z,36.8355,-115.3877,0.8,1.3,ml,19,119.29,0.377,0.25,nn,nn00705541,2019-09-27T06:04:05.319Z,"62km SSW of Alamo, Nevada",earthquake,,20.2,,,automatic,nn,nn
